year,Country,AverageTemperature,AverageTemperatureUncertainty,EmissionsKilotonnesCO2Equivalent,GreenhouseEmissionType,yearlyEmissionsKT
1990,Australia,22.35575,0.18575,278265.898940768,CO2,1255869.148687947
1990,Australia,22.35575,0.18575,418623.049562649,GHG-Indirect-CO2,1255869.148687947
1990,Australia,22.35575,0.18575,418623.049562649,GHG,1255869.148687947
1990,Australia,22.35575,0.18575,1424.68352,HFC,1255869.148687947
1990,Australia,22.35575,0.18575,118768.837813046,CH4,1255869.148687947
1990,Australia,22.35575,0.18575,15345.5978582934,N2O,1255869.148687947
1990,Australia,22.35575,0.18575,4607.01291909928,PFCs,1255869.148687947
1990,Australia,22.35575,0.18575,211.018511442384,SF6,1255869.148687947
1990,Austria,7.344,0.2748333333333333,62297.1655681668,CO2,236533.88177860703
1990,Austria,7.344,0.2748333333333333,78844.6272595357,GHG-Indirect-CO2,236533.88177860703
1990,Austria,7.344,0.2748333333333333,78844.6272595357,GHG,236533.88177860703
1990,Austria,7.344,0.2748333333333333,2.43756,HFC,236533.88177860703
1990,Austria,7.344,0.2748333333333333,10598.5663608928,CH4,236533.88177860703
1990,Austria,7.344,0.2748333333333333,4293.06258958584,N2O,236533.88177860703
1990,Austria,7.344,0.2748333333333333,1182.78680316,PFCs,236533.88177860703
1990,Austria,7.344,0.2748333333333333,470.6083777302,SF6,236533.88177860703
1990,Belarus,7.757416666666667,0.2373333333333333,100438.095063708,CO2,400371.4860362611
1990,Belarus,7.757416666666667,0.2373333333333333,133457.162012087,GHG-Indirect-CO2,400371.4860362611
1990,Belarus,7.757416666666667,0.2373333333333333,133457.162012087,GHG,400371.4860362611
1990,Belarus,7.757416666666667,0.2373333333333333,17944.369142475,CH4,400371.4860362611
1990,Belarus,7.757416666666667,0.2373333333333333,15074.697805904,N2O,400371.4860362611
1990,Belgium,10.935333333333334,0.2298333333333333,119982.503418506,CO2,438063.71028174675
1990,Belgium,10.935333333333334,0.2298333333333333,146021.236760582,GHG-Indirect-CO2,438063.71028174675
1990,Belgium,10.935333333333334,0.2298333333333333,146021.236760582,GHG,438063.71028174675
1990,Belgium,10.935333333333334,0.2298333333333333,12040.1810478487,CH4,438063.71028174675
1990,Belgium,10.935333333333334,0.2298333333333333,10232.4000382159,N2O,438063.71028174675
1990,Belgium,10.935333333333334,0.2298333333333333,2191.04861,PFCs,438063.71028174675
1990,Belgium,10.935333333333334,0.2298333333333333,1575.10364601222,SF6,438063.71028174675
1990,Bulgaria,11.597666666666667,0.29400000000000004,78197.8812570199,CO2,206901.5683018063
1990,Bulgaria,11.597666666666667,0.29400000000000004,103450.784150903,GHG,206901.5683018063
1990,Bulgaria,11.597666666666667,0.29400000000000004,16430.8375650653,CH4,206901.5683018063
1990,Bulgaria,11.597666666666667,0.29400000000000004,8818.37141292847,N2O,206901.5683018063
1990,Bulgaria,11.597666666666667,0.29400000000000004,3.693915889668,SF6,206901.5683018063
1990,Canada,-5.021916666666667,0.27125,463493.332387577,CO2,1842640.2139184163
1990,Canada,-5.021916666666667,0.27125,616908.110877472,GHG-Indirect-CO2,1842640.2139184163
1990,Canada,-5.021916666666667,0.27125,612866.051520472,GHG,1842640.2139184163
1990,Canada,-5.021916666666667,0.27125,970.584,HFC,1842640.2139184163
1990,Canada,-5.021916666666667,0.27125,95378.2519424985,CH4,1842640.2139184163
1990,Canada,-5.021916666666667,0.27125,0.324454149276,NF3,1842640.2139184163
1990,Canada,-5.021916666666667,0.27125,42239.7307721834,N2O,1842640.2139184163
1990,Canada,-5.021916666666667,0.27125,7557.90185934868,PFCs,1842640.2139184163
1990,Canada,-5.021916666666667,0.27125,3225.92610471538,SF6,1842640.2139184163
1990,Croatia,12.434416666666666,0.2896666666666667,23390.075209187,CO2,93613.89379052189
1990,Croatia,12.434416666666666,0.2896666666666667,31204.6312635073,GHG-Indirect-CO2,93613.89379052189
1990,Croatia,12.434416666666666,0.2896666666666667,31204.6312635073,GHG,93613.89379052189
1990,Croatia,12.434416666666666,0.2896666666666667,3770.71776073763,CH4,93613.89379052189
1990,Croatia,12.434416666666666,0.2896666666666667,2793.14962938266,N2O,93613.89379052189
1990,Croatia,12.434416666666666,0.2896666666666667,1240.238592,PFCs,93613.89379052189
1990,Croatia,12.434416666666666,0.2896666666666667,10.4500722,SF6,93613.89379052189
1990,Cyprus,19.19441666666667,0.27475,4621.007176785,CO2,16873.9497660012
1990,Cyprus,19.19441666666667,0.27475,5624.6499220004,GHG-Indirect-CO2,16873.9497660012
1990,Cyprus,19.19441666666667,0.27475,5624.6499220004,GHG,16873.9497660012
1990,Cyprus,19.19441666666667,0.27475,0.1456139,HFC,16873.9497660012
1990,Cyprus,19.19441666666667,0.27475,693.566622225,CH4,16873.9497660012
1990,Cyprus,19.19441666666667,0.27475,309.9047424,N2O,16873.9497660012
1990,Cyprus,19.19441666666667,0.27475,0.0257666904,SF6,16873.9497660012
1990,Czech Republic,8.962666666666665,0.24641666666666664,161662.018871736,CO2,591639.0959417451
1990,Czech Republic,8.962666666666665,0.24641666666666664,198621.240805831,GHG-Indirect-CO2,591639.0959417451
1990,Czech Republic,8.962666666666665,0.24641666666666664,196508.927567957,GHG,591639.0959417451
1990,Czech Republic,8.962666666666665,0.24641666666666664,23315.0467690008,CH4,591639.0959417451
1990,Czech Republic,8.962666666666665,0.24641666666666664,11446.6469272203,N2O,591639.0959417451
1990,Czech Republic,8.962666666666665,0.24641666666666664,85.215,SF6,591639.0959417451
